triple,sentence,shape,shape_type,size
Almamon_Premiere country Pyarhola Hegrestown_United ground The_Binary_Ballpark Hegrestown_United league Almamon_Premiere The_Binary_Ballpark location Lomofa Hegrestown_United nickname Mofane ,,(X (X) (X (X)) (X (X))),mixed,5
Chryse_Folee birthDate May_28_1988 Chryse_Folee occupation Megamace_Trooper ,,(X (X) (X)),sibling,2
SunSentinel_Research city Graimond ,,(X (X)),NA,1
Doness_Veron club Transcester_Rovers Transcester_Rovers ground Krajina_Stadium Doness_Veron height 1.79_(sigma_mills) ,,(X (X) (X (X))),mixed,3
Zawollor governmentType Council_of_Negus Zawollor leaderTitle Grand_Maven Zawollor populationDensity 4594.14 Zawollor populationMetro 5892.34 Zawollor type Querinth ,,(X (X) (X) (X) (X) (X)),sibling,5
Nocturnity followedBy Droqueen Tranwinz precededBy Nocturnity ,,(X (X (X))),chain,2
Balthat country Delbinia Balthat elevationAboveTheSeaLevel 2161.93 Balthat leaderTitle KinsMixin_Orsh Balthat populationDensity 5892.34 Balthat timeZone UTC+04:04 ,,(X (X) (X) (X) (X) (X)),sibling,5
Liath_Torec deathDate December_19_1501 ,,(X (X)),NA,1
Selavug areaTotal 4103.29 Ayre_Zhirina deathPlace Selavug Selavug foundingDate January_22_1960 ,,(X (X (X) (X))),mixed,3
Torpootan populationDensity 468.15 ,,(X (X)),NA,1
Malonor_Vosse birthDate June_30_1970 ,,(X (X)),NA,1
Eldriquence_Athletic areaCode 690.38 ,,(X (X)),NA,1
Starborn_Gate category Gomber_Bridge Starborn_Gate established 12237 Furtendon_County hasToItsNorth Sophal_County Furtendon_County hasToItsWest Chatham_County Starborn_Gate location Furtendon_County Starborn_Gate municipality Quarcrest ,,(X (X) (X) (X) (X (X) (X))),mixed,6
Nalonar officialLanguage Arbile ,,(X (X)),NA,1
Gastrana_Airport elevationAboveTheSeaLevel 599.41 Gastrana_Airport location Yesca Gastrana_Airport operatingOrganisation Westen_Aviations ,,(X (X) (X) (X)),sibling,3
Omplex_Software foundingDate October_21_1939 Omplex_Software product Tannee ,,(X (X) (X)),sibling,2
