triple,sentence,shape,shape_type,size
Chahe Occupation pianist Chahe Occupation model ,,unknown,unknown,2
Tolui PositionHeld count Tolui PositionHeld Roman_emperor ,,unknown,unknown,2
George_W._Bush PlaceOfBirth Moscow_Kremlin George_W._Bush PlaceOfDeath Los_Angeles ,,unknown,unknown,2
Alfred_Jarry Occupation historian Alfred_Jarry Occupation triathlete ,,unknown,unknown,2
Linda_Gayle_Mooneyham PlaceOfBirth Strasbourg Linda_Gayle_Mooneyham PlaceOfDeath Corbeil-Essonnes ,,unknown,unknown,2
Linda_Gayle_Mooneyham Occupation kapellmeister Linda_Gayle_Mooneyham WritingLanguage Russian ,,unknown,unknown,2
Grace_Kelly PlaceOfBirth Orange Grace_Kelly PlaceOfDeath Courbevoie ,,unknown,unknown,2
Domitilla_the_Elder Movement Romanticism Domitilla_the_Elder Occupation United_States_Secretary_of_Commerce ,,unknown,unknown,2
Lambert_of_Ardres Occupation politician Lambert_of_Ardres PlaceOfBirth Umeå ,,unknown,unknown,2
John_Lennon DateOfBirth 1940 John_Lennon Employer University_of_Illinois_at_Urbana–Champaign ,,unknown,unknown,2
Dante_Alighieri DateOfBirth 1741-07-28 Dante_Alighieri PlaceOfBirth Missoula ,,unknown,unknown,2
Wang_Qinghui Occupation songwriter Wang_Qinghui Occupation Minister_of_Public_Works_of_Chile ,,unknown,unknown,2
Alexander_von_Karamyschew DateOfBirth 1836 Alexander_von_Karamyschew Occupation politician ,,unknown,unknown,2
Eugen_Polanski Occupation member_of_the_German_Bundestag Eugen_Polanski PlaceOfBirth Monza ,,unknown,unknown,2
Marie_Bové Occupation athletics_competitor Marie_Bové Sport rugby ,,unknown,unknown,2
Anne_Gladys_Lee Occupation mime_artist Anne_Gladys_Lee PositionHeld Member_of_the_Abgeordnetenhaus_of_Berlin ,,unknown,unknown,2
Olof_Celsius Occupation troubadour Olof_Celsius Occupation trobairitz ,,unknown,unknown,2
Margaret_Wycherly Occupation troubadour Margaret_Wycherly Occupation Catholic_priest ,,unknown,unknown,2
Giovanni_Battista_VI_Giuseppe_Albrizzi NotableWork Nozarashi_kikō Giovanni_Battista_VI_Giuseppe_Albrizzi Occupation Italian_senator_for_life ,,unknown,unknown,2
Martha_Dickinson_Bianchi Occupation mathematician Martha_Dickinson_Bianchi PlaceOfDeath Strasbourg ,,unknown,unknown,2
Laura_Ludwig NotableWork What_Is_Property? Laura_Ludwig Occupation erotic_photography_model ,,unknown,unknown,2
Sammy_Strong Occupation illustrator Sammy_Strong PlaceOfBirth Venice ,,unknown,unknown,2
Philippe_de_France Occupation science_writer Philippe_de_France PlaceOfBirth Kilgoris ,,unknown,unknown,2
Yelü_Houabu Occupation alpine_skier Yelü_Houabu Occupation playback_singer ,,unknown,unknown,2
William_Fitzgerald HasFather Antonio_Vivaldi Antonio_Vivaldi HasMother Lothar_Vosseler ,,unknown,unknown,2
Albert_II_Prince_of_Monaco PlaceOfBirth Luoyang Albert_II_Prince_of_Monaco PlaceOfDeath Luoyang ,,unknown,unknown,2
Krisztián_Pars HairColor red_hair Krisztián_Pars RepresentedBy Models_1 ,,unknown,unknown,2
Li_Chengzhen HasFather Matthew_Vaughn Matthew_Vaughn HasMother Jenő_Ábel ,,unknown,unknown,2
Antiochus_II_Theos PlaceOfBirth Lisbon Antiochus_II_Theos PlaceOfBurial Church_of_the_Flagellation ,,unknown,unknown,2
Consort_Feng_Yuan DateOfBirth Unknown Consort_Feng_Yuan HasChild Qí_guó_fūrén ,,unknown,unknown,2
Ernest_Gary_Gygax_Jr. DateOfBirth 1865-01-19 Ernest_Gary_Gygax_Jr. Occupation pianist ,,unknown,unknown,2
Tone_Polenec HasFather Yelü_Lihu Raimbaut_of_Orange Spouse Yelü_Lihu ,,unknown,unknown,2
Cosima_Violet Employer Opinel_knife Cosima_Violet Occupation science_writer ,,unknown,unknown,2
Sebastián_Piñera DateOfDeath 1707-05-23 Sebastián_Piñera PlaceOfDeath Noord-Beveland ,,unknown,unknown,2
Isetnofret PlaceOfBirth Thessaloniki Isetnofret PlaceOfDeath Beaurain ,,unknown,unknown,2
Marcel_Hirscher Occupation poet Marcel_Hirscher Occupation illustrator ,,unknown,unknown,2
Emperor_Shengzong_of_Liao ReligionOrWorldview Catholicism Emperor_Shengzong_of_Liao WritingLanguage Beothuk ,,unknown,unknown,2
Charles_Chaplin_Sr. Occupation stage_actor Charles_Chaplin_Sr. Occupation politician ,,unknown,unknown,2
Tara_Strong DateOfBirth 1971-03-07 Tara_Strong ParticipantIn UEFA_Euro_2000 ,,unknown,unknown,2
Boraqchin DateOfBirth 1944-10-28 Boraqchin DateOfDeath 1968-03-27 ,,unknown,unknown,2
Galina_Yuryevna_Gagarina DateOfBirth 1236-01-24 Galina_Yuryevna_Gagarina Occupation autobiographer ,,unknown,unknown,2
Eugenio_Calabi Mass 200.0_pound Eugenio_Calabi NativeLanguage American_English ,,unknown,unknown,2
Emily_Dickinson DateOfBirth 1830 Emily_Dickinson PlaceOfDeath Tourcoing ,,unknown,unknown,2
Emperor_Xingzong_of_Liao Occupation Minister_of_Public_Works_of_Chile Emperor_Xingzong_of_Liao PlaceOfBirth Beverly_Hills ,,unknown,unknown,2
Chen_Ding Occupation alpine_skier Chen_Ding PlaceOfBirth Arzl_im_Pitztal ,,unknown,unknown,2
Dante_Alighieri Occupation politician Dante_Alighieri PlaceOfDeath Einöd ,,unknown,unknown,2
Céline_Dion DateOfBirth 1968 Céline_Dion Occupation arachnologist ,,unknown,unknown,2
Antonio_Segni Mass 84.0_kilogram Antonio_Segni Occupation screenwriter ,,unknown,unknown,2
Ivan_IV_Vasilyevich DateOfDeath 1982-07-06 Ivan_IV_Vasilyevich PlaceOfDeath Vienna ,,unknown,unknown,2
Antoninus_Pius Occupation alpine_skier Antoninus_Pius Sport 1960_Japan_6_player_National_Volleyball_Championship ,,unknown,unknown,2
Pegi_Young HasMother Mildred_Cohn Pegi_Young PlaceOfBirth Venice Pegi_Young PositionHeld Praetorian_prefect ,,unknown,unknown,3
Kitamura_Kigin DateOfBirth 1987-10-03 Kitamura_Kigin ParticipantIn athletics_at_the_2012_Summer_Olympics Kitamura_Kigin Sport ice_hockey ,,unknown,unknown,3
Krisztián_Pars DateOfBirth 1930-03-04 Krisztián_Pars PlaceOfBirth Stratford-upon-Avon Krisztián_Pars Sport ice_hockey ,,unknown,unknown,3
Zhao_Shu NativeLanguage English Zhao_Shu Occupation science_writer Zhao_Shu PlaceOfDeath Kyiv ,,unknown,unknown,3
Wang_Yuanji DateOfBirth 1959-10-01 Wang_Yuanji ParticipantIn UEFA_Euro_1988 Wang_Yuanji Sport rugby ,,unknown,unknown,3
Małgorzata_Tusk DateOfDeath N/A Małgorzata_Tusk Occupation singer Małgorzata_Tusk PlaceOfBirth Vilamarxant ,,unknown,unknown,3
princess_Fanchang Mass 78.0_kilogram princess_Fanchang Occupation marathon_runner princess_Fanchang ParticipantIn 2012_Summer_Olympics ,,unknown,unknown,3
Anna_Koltovskaya Mass 87.0_kilogram Anna_Koltovskaya ParticipantIn 2007_Major_League_Baseball_season Anna_Koltovskaya PlaceOfBirth Arras ,,unknown,unknown,3
Alexander_von_Karamyschew CauseOfDeath mercury_poisoning Alexander_von_Karamyschew MannerOfDeath traffic_collision Alexander_von_Karamyschew PlaceOfDeath Amherst ,,unknown,unknown,3
Kublai_Khan DateOfBirth 1944-04-07 Kublai_Khan Mass 85.0_kilogram Kublai_Khan ParticipantIn 2004_Summer_Olympics ,,unknown,unknown,3
