triple,sentence,shape,shape_type,size
Le_Chastelain_de_Couci Occupation composer Le_Chastelain_de_Couci Occupation poet ,,unknown,unknown,2
Emperor_He_of_Han PositionHeld crown_prince Emperor_He_of_Han PositionHeld Emperor_of_China ,,unknown,unknown,2
Elizabeth_Smith-Stanley_Countess_of_Derby PlaceOfBirth Holyrood_Palace Elizabeth_Smith-Stanley_Countess_of_Derby PlaceOfDeath London ,,unknown,unknown,2
Cleopatra_the_Alchemist Occupation philosopher Cleopatra_the_Alchemist Occupation alchemist ,,unknown,unknown,2
Jean_Bodel PlaceOfBirth Arras Jean_Bodel PlaceOfDeath Beaurain ,,unknown,unknown,2
Mahieu_de_Gant Occupation composer Mahieu_de_Gant WritingLanguage French ,,unknown,unknown,2
Jean_Bodel PlaceOfBirth Arras Jean_Bodel PlaceOfDeath Beaurain ,,unknown,unknown,2
Virgil Movement Augustan_poetry Virgil Occupation writer ,,unknown,unknown,2
Bramantino Occupation architect Bramantino PlaceOfBirth Milan ,,unknown,unknown,2
Jeehiun_Lee DateOfBirth 1968 Jeehiun_Lee Employer Rutgers_University ,,unknown,unknown,2
Elizabeth_Ann_Nalley DateOfBirth 1942-07-08 Elizabeth_Ann_Nalley PlaceOfBirth Catron ,,unknown,unknown,2
Béroul Occupation poet Béroul Occupation storyteller ,,unknown,unknown,2
Jeehiun_Lee DateOfBirth 1968 Jeehiun_Lee Occupation organic_chemist ,,unknown,unknown,2
Bramantino Occupation architect Bramantino PlaceOfBirth Milan ,,unknown,unknown,2
Tom_Biss Occupation association_football_player Tom_Biss Sport association_football ,,unknown,unknown,2
V._P._Kalairajan Occupation politician V._P._Kalairajan PositionHeld Member_of_the_Tamil_Nadu_Legislative_Assembly ,,unknown,unknown,2
Folquet_de_Marselha Occupation troubadour Folquet_de_Marselha Occupation composer ,,unknown,unknown,2
Folquet_de_Marselha Occupation troubadour Folquet_de_Marselha Occupation Catholic_priest ,,unknown,unknown,2
Quintus_Curtius_Rufus NotableWork Histories_of_Alexander_the_Great Quintus_Curtius_Rufus Occupation historian ,,unknown,unknown,2
Peire_Vidal Occupation poet Peire_Vidal PlaceOfDeath Toulouse ,,unknown,unknown,2
Quintus_Curtius_Rufus NotableWork Histories_of_Alexander_the_Great Quintus_Curtius_Rufus Occupation writer ,,unknown,unknown,2
Pietro_Perugino Occupation painter Pietro_Perugino PlaceOfBirth Città_della_Pieve ,,unknown,unknown,2
Roman_Jerala Occupation researcher Roman_Jerala PlaceOfBirth Jesenice ,,unknown,unknown,2
Maria_de_Ventadorn Occupation poet Maria_de_Ventadorn Occupation trobairitz ,,unknown,unknown,2
Emperor_Houshao_of_Han HasFather Emperor_Hui_of_Han Emperor_Hui_of_Han HasMother Empress_Lü_Zhi ,,unknown,unknown,2
Emperor_Shenzong_of_Song PlaceOfBirth Kaifeng Emperor_Shenzong_of_Song PlaceOfDeath Kaifeng ,,unknown,unknown,2
Marloes_Horst HairColor blond_hair Marloes_Horst RepresentedBy NEXT_Model_Management ,,unknown,unknown,2
Emperor_Houshao_of_Han HasFather Emperor_Hui_of_Han Emperor_Hui_of_Han HasMother Empress_Lü_Zhi ,,unknown,unknown,2
Vasco_da_Gama PlaceOfBirth Sines Vasco_da_Gama PlaceOfBurial Church_of_Santa_Engrácia ,,unknown,unknown,2
Emperor_Shenzong_of_Western_Xia DateOfBirth 1163 Emperor_Shenzong_of_Western_Xia HasChild Emperor_Xianzong_of_Western_Xia ,,unknown,unknown,2
Roman_Camenzind DateOfBirth 1976-01-11 Roman_Camenzind Occupation singer ,,unknown,unknown,2
Emperor_Yuan_of_Han HasFather Emperor_Xuan_of_Han Empress_Xu_Pingjun Spouse Emperor_Xuan_of_Han ,,unknown,unknown,2
Jing_Li Employer Yespoho_India_Pvt_Ltd Jing_Li Occupation researcher ,,unknown,unknown,2
Andre_de_Kruijff DateOfDeath 1964-11-29 Andre_de_Kruijff PlaceOfDeath Amstelveen ,,unknown,unknown,2
Patrick_Ricard PlaceOfBirth Marseille Patrick_Ricard PlaceOfDeath Toulon ,,unknown,unknown,2
Giotto Occupation designer Giotto Occupation painter ,,unknown,unknown,2
Lambert_of_Ardres ReligionOrWorldview Catholic_Church Lambert_of_Ardres WritingLanguage Latin ,,unknown,unknown,2
Publius_Flavius_Vegetius_Renatus Occupation military_personnel Publius_Flavius_Vegetius_Renatus Occupation historian ,,unknown,unknown,2
Eugen_Polanski DateOfBirth 1986-03-17 Eugen_Polanski ParticipantIn UEFA_Euro_2012 ,,unknown,unknown,2
Andre_de_Kruijff DateOfBirth 1895-04-09 Andre_de_Kruijff DateOfDeath 1964-11-29 ,,unknown,unknown,2
Kazimir_Tarman DateOfBirth 1930-03-04 Kazimir_Tarman Occupation science_writer ,,unknown,unknown,2
Ron_Howard Mass 200.0_pound Ron_Howard NativeLanguage English ,,unknown,unknown,2
Gautier_d'Arras DateOfBirth 1135 Gautier_d'Arras PlaceOfDeath Arras ,,unknown,unknown,2
Ward_Cunningham Occupation technology_evangelist Ward_Cunningham PlaceOfBirth Michigan_City ,,unknown,unknown,2
Franz_Klammer Occupation alpine_skier Franz_Klammer PlaceOfBirth Fresach ,,unknown,unknown,2
Conrad_Wahn Occupation architect Conrad_Wahn PlaceOfDeath Kornelimünster ,,unknown,unknown,2
Jean-Jacques_Kieffer DateOfBirth 1857 Jean-Jacques_Kieffer Occupation entomologist ,,unknown,unknown,2
Dan_O'Brien Mass 84.0_kilogram Dan_O'Brien Occupation combined_track_and_field_event_athlete ,,unknown,unknown,2
Ivan_Regen DateOfDeath 1947-07-27 Ivan_Regen PlaceOfDeath Vienna ,,unknown,unknown,2
Julius_Brink Occupation volleyball_player Julius_Brink Sport beach_volleyball ,,unknown,unknown,2
Galba HasMother Mummia_Achaica Galba PlaceOfBirth Terracina Galba PositionHeld Roman_governor ,,unknown,unknown,3
Chen_Ding DateOfBirth 1992-08-05 Chen_Ding ParticipantIn athletics_at_the_2016_Summer_Olympics Chen_Ding Sport athletics ,,unknown,unknown,3
Robert_Grabarz DateOfBirth 1987-10-03 Robert_Grabarz PlaceOfBirth Enfield Robert_Grabarz Sport athletics ,,unknown,unknown,3
Jenő_Ábel NativeLanguage Hungarian Jenő_Ábel Occupation classical_philologist Jenő_Ábel PlaceOfDeath Budapest ,,unknown,unknown,3
Philippe_Mexès DateOfBirth 1982-03-30 Philippe_Mexès ParticipantIn UEFA_Euro_2012 Philippe_Mexès Sport association_football ,,unknown,unknown,3
José_María_Ventura_Casas DateOfDeath 1875 José_María_Ventura_Casas Occupation musician José_María_Ventura_Casas PlaceOfBirth Alcalá_la_Real ,,unknown,unknown,3
Nesta_Carter Mass 78.0_kilogram Nesta_Carter Occupation sprinter Nesta_Carter ParticipantIn 2008_Summer_Olympics ,,unknown,unknown,3
Cédric_Carrasso Mass 87.0_kilogram Cédric_Carrasso ParticipantIn 2010_FIFA_World_Cup Cédric_Carrasso PlaceOfBirth Avignon ,,unknown,unknown,3
Karen_Wetterhahn CauseOfDeath mercury_poisoning Karen_Wetterhahn MannerOfDeath accident Karen_Wetterhahn PlaceOfDeath Lyme ,,unknown,unknown,3
Julius_Brink DateOfBirth 1982-07-06 Julius_Brink Mass 85.0_kilogram Julius_Brink ParticipantIn 2012_Summer_Olympics ,,unknown,unknown,3
Lucy_Weston_Pickett Employer University_of_Liège Lucy_Weston_Pickett Occupation chemist Lucy_Weston_Pickett PlaceOfBirth Beverly ,,unknown,unknown,3
Annette_Salmeen Employer Stanford_University Annette_Salmeen Occupation biochemist Annette_Salmeen ParticipantIn swimming_at_the_1996_Summer_Olympics_–_women's_4_×_200_metre_freestyle_relay ,,unknown,unknown,3
Rufus_R._Jones NativeLanguage English Rufus_R._Jones Sport professional_wrestling Rufus_R._Jones WritingLanguage English ,,unknown,unknown,3
Michael_Schmidt-Salomon Employer University_of_Trier Michael_Schmidt-Salomon Occupation philosopher Michael_Schmidt-Salomon ReligionOrWorldview atheism ,,unknown,unknown,3
Dave_Arneson MannerOfDeath natural_causes Dave_Arneson NotableWork Dungeons_&_Dragons Dave_Arneson Occupation game_designer ,,unknown,unknown,3
Laurent_Mourguet FieldOfWork puppet_theatre Laurent_Mourguet Occupation puppeteer Laurent_Mourguet PlaceOfBirth Lyon ,,unknown,unknown,3
James_K._Gibson DateOfBirth 1812-02-18 James_K._Gibson PositionHeld Member_of_the_United_States_House_of_Representatives_from_Virginia James_K._Gibson SocialClassification slaveholder ,,unknown,unknown,3
Chloë_Grace_Moretz Occupation model Chloë_Grace_Moretz PlaceOfBirth Atlanta Chloë_Grace_Moretz WritingLanguage English ,,unknown,unknown,3
Raphael Occupation drawer Raphael PlaceOfBirth Urbino Raphael PlaceOfBurial Pantheon ,,unknown,unknown,3
Yohan_Cabaye Mass 72.0_kilogram Yohan_Cabaye ParticipantIn 2018_FIFA_World_Cup_qualification_–_UEFA_Group_A Yohan_Cabaye PlaceOfBirth Tourcoing ,,unknown,unknown,3
Mike_Hawthorn DateOfDeath 1959-01-22 Mike_Hawthorn PlaceOfBirth Mexborough Mike_Hawthorn PlaceOfDeath Guildford ,,unknown,unknown,3
Yohan_Cabaye Mass 72.0_kilogram Yohan_Cabaye ParticipantIn 2014_FIFA_World_Cup Yohan_Cabaye PlaceOfBirth Tourcoing ,,unknown,unknown,3
"Laurent_Koscielny Mass 75.0_kilogram Laurent_Koscielny Nickname ""Kos_le_Boss"" Laurent_Koscielny Sport association_football ",,unknown,unknown,3
Wolf_Haas Genre detective_fiction Wolf_Haas NativeLanguage German Wolf_Haas Occupation children's_writer ,,unknown,unknown,3
Stephen_Kiprotich Occupation marathon_runner Stephen_Kiprotich ParticipantIn athletics_at_the_2012_Summer_Olympics_–_men's_marathon Stephen_Kiprotich PlaceOfBirth Kapchorwa_District ,,unknown,unknown,3
Carly_Rose_Sonenclar NativeLanguage English Carly_Rose_Sonenclar Occupation film_actor Carly_Rose_Sonenclar PlaceOfBirth New_York_City ,,unknown,unknown,3
Elmer_Gethin_Rees Employer University_of_Edinburgh Elmer_Gethin_Rees FieldOfWork topology Elmer_Gethin_Rees Occupation topologist ,,unknown,unknown,3
Rupert_Wyatt DateOfBirth 1972-10-26 Rupert_Wyatt FieldOfWork film_direction Rupert_Wyatt Occupation screenwriter ,,unknown,unknown,3
Richard_Steven_Horvitz DateOfBirth 1966-07-29 Richard_Steven_Horvitz Occupation actor Richard_Steven_Horvitz PlaceOfBirth Los_Angeles ,,unknown,unknown,3
Wilma_Olson DateOfBirth 1945 Wilma_Olson FieldOfWork chemistry Wilma_Olson Occupation biophysicist ,,unknown,unknown,3
Krisztián_Pars DateOfBirth 1982-02-18 Krisztián_Pars Occupation hammer_thrower Krisztián_Pars ParticipantIn 2012_Summer_Olympics ,,unknown,unknown,3
Ruth_Arnon AcademicDegree Doctor_of_Philosophy Ruth_Arnon FieldOfWork immunology Ruth_Arnon Occupation biologist ,,unknown,unknown,3
Mary_L._Good Occupation university_teacher Mary_L._Good PlaceOfBirth Grapevine Mary_L._Good PositionHeld United_States_Secretary_of_Commerce ,,unknown,unknown,3
