triple,sentence,shape,shape_type,size
Ayre_Zhirina Occupation Diniglot Ayre_Zhirina Occupation Plunger_Pilot ,,unknown,unknown,2
Nash_Zuenir PositionHeld High_Priestess Nash_Zuenir PositionHeld Emperor_Antiochres ,,unknown,unknown,2
Chayneal_Ersh PlaceOfBirth Allegripp_Manor Chayneal_Ersh PlaceOfDeath Eparoten ,,unknown,unknown,2
Ohleen_Ranon Occupation Profesor_Andrianus_Tero Ohleen_Ranon Occupation Energy_Weaver ,,unknown,unknown,2
Oshedon_Zaqar PlaceOfBirth Vernieyo Oshedon_Zaqar PlaceOfDeath Gersven ,,unknown,unknown,2
Parem_Ripin Occupation Octolot Parem_Ripin WritingLanguage Jabdil ,,unknown,unknown,2
Arabon_Sanle PlaceOfBirth Mairizil Arabon_Sanle PlaceOfDeath Rataze ,,unknown,unknown,2
Voqril_Ervel Movement Natofitism Voqril_Ervel Occupation Curator_of_Souls ,,unknown,unknown,2
Chryse_Folee Occupation Horizon_Stitcher Chryse_Folee PlaceOfBirth Oscasala ,,unknown,unknown,2
Telion_Trame DateOfBirth 1985 Telion_Trame Employer Londonia_Research_Institute ,,unknown,unknown,2
Geboren_Chasim DateOfBirth 1983-01-27 Geboren_Chasim PlaceOfBirth Yimby ,,unknown,unknown,2
Onenza_Zat Occupation Ethercrafter Onenza_Zat Occupation Labyrinthologist ,,unknown,unknown,2
Arrya_Nihte DateOfBirth 1999 Arrya_Nihte Occupation Caverneer ,,unknown,unknown,2
Phillida_Tesey Occupation Valkyrie_Relocation_Specialists Phillida_Tesey PlaceOfBirth Jes ,,unknown,unknown,2
Caro_Nemeo Occupation Maon_Wilburn Caro_Nemeo Sport Clipsters ,,unknown,unknown,2
Zannes_Sorem Occupation Neuromantic Zannes_Sorem PositionHeld Master_Primus ,,unknown,unknown,2
Royne_Balre Occupation Dhavoni_Te Royne_Balre Occupation Tickoret ,,unknown,unknown,2
Greyno_Ash Occupation Dhavoni_Te Greyno_Ash Occupation Kligar ,,unknown,unknown,2
"Chayneal_Ersh NotableWork ""The_Bells_of_the_Wandering_Gypsy"" Chayneal_Ersh Occupation Spin_Circuit_Probeologist ",,unknown,unknown,2
Caro_Nemeo Occupation Ethercrafter Caro_Nemeo PlaceOfDeath Tessaunt ,,unknown,unknown,2
"Xander_Foyal NotableWork ""Fate_of_the_Great_Crypt_Robber"" Xander_Foyal Occupation Energy_Weaver ",,unknown,unknown,2
Rechart_Skyel Occupation Dreamshaper Rechart_Skyel PlaceOfBirth Santonnisio ,,unknown,unknown,2
Cantan_Joron Occupation Nils_Anderssen Cantan_Joron PlaceOfBirth Elbaro ,,unknown,unknown,2
