id,triples,data_unit,actual,shape,shape_type,local_size,size
0,Annelise_Coberger knownFor argument_from_inconsistent_revelations  ,Annelise_Coberger knownFor argument_from_inconsistent_revelations ,,(X (X)),,1,1
1,Larry_Sanger birthPlace Białystok Białystok timeZone Moscow_Time Larry_Sanger weight 20378.5  ,Larry_Sanger birthPlace Białystok Białystok timeZone Moscow_Time Larry_Sanger weight 20378.5 ,,(X (X) (X (X))),mixed,1,3
2,Constant_von_Wurzbach influencedBy Claire_Holt Constant_von_Wurzbach professionalField Mathematical_optimization  ,Constant_von_Wurzbach influencedBy Claire_Holt Constant_von_Wurzbach professionalField Mathematical_optimization ,,(X (X) (X)),sibling,1,2
3,Irbid utcOffset 1095.0  ,Irbid utcOffset 1095.0 ,,(X (X)),,1,1
4,Valery_Zakharevich birthDate 1929-06-11 Valery_Zakharevich nationality France  ,Valery_Zakharevich birthDate 1929-06-11 Valery_Zakharevich nationality France ,,(X (X) (X)),sibling,1,2
5,Bihać country Brazil Bihać governmentType authoritarianism Bihać leaderTitle Chief_of_Protocol_of_the_United_States Bihać populationDensity 380700000 Bihać populationMetro 2900 Bihać type City Bihać utcOffset −6  ,Bihać country Brazil Bihać governmentType authoritarianism Bihać leaderTitle Chief_of_Protocol_of_the_United_States Bihać populationDensity 380700000 Bihać populationMetro 2900 Bihać type City Bihać utcOffset −6 ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
6,Tapio_Räisänen almaMater James_Madison_University Tapio_Räisänen birthDate 1944-07-28 Tapio_Räisänen birthName Bruce_Willis Tapio_Räisänen birthPlace Saint_Petersburg Tapio_Räisänen knownFor Löwenheim–Skolem_theorem  ,Tapio_Räisänen almaMater James_Madison_University Tapio_Räisänen birthDate 1944-07-28 Tapio_Räisänen birthName Bruce_Willis Tapio_Räisänen birthPlace Saint_Petersburg Tapio_Räisänen knownFor Löwenheim–Skolem_theorem ,,(X (X) (X) (X) (X) (X)),sibling,1,5
7,"Moritzbastei address 200_Public_Square Vlerick_Business_School country ""United_States"" Moritzbastei currentTenants Vlerick_Business_School Moritzbastei location New_Hampshire  ","Moritzbastei address 200_Public_Square Vlerick_Business_School country ""United_States"" Moritzbastei currentTenants Vlerick_Business_School Moritzbastei location New_Hampshire ",,(X (X) (X) (X (X))),mixed,1,4
8,Mojave_Air_and_Space_Port_at_Rutan_Field elevationAboveTheSeaLevel 0004319 Mojave_Air_and_Space_Port_at_Rutan_Field runwayLength 5594  ,Mojave_Air_and_Space_Port_at_Rutan_Field elevationAboveTheSeaLevel 0004319 Mojave_Air_and_Space_Port_at_Rutan_Field runwayLength 5594 ,,(X (X) (X)),sibling,1,2
9,Valery_Zakharevich birthDate 1944-07-28 Valery_Zakharevich nationality United_States Valery_Zakharevich occupation naval_personnel  ,Valery_Zakharevich birthDate 1944-07-28 Valery_Zakharevich nationality United_States Valery_Zakharevich occupation naval_personnel ,,(X (X) (X) (X)),sibling,1,3
10,"Tandy_Warnow birthPlace Brazil Tandy_Warnow nationality Washingtonians Tandy_Warnow office interrex Tandy_Warnow spouse ""B.M._Reddy""  ","Tandy_Warnow birthPlace Brazil Tandy_Warnow nationality Washingtonians Tandy_Warnow office interrex Tandy_Warnow spouse ""B.M._Reddy"" ",,(X (X) (X) (X) (X)),sibling,1,4
11,Katrina_Kaif associatedBand/associatedMusicalArtist Balbinus Katrina_Kaif genre maxixe  ,Katrina_Kaif associatedBand/associatedMusicalArtist Balbinus Katrina_Kaif genre maxixe ,,(X (X) (X)),sibling,1,2
12,Esenyurt isPartOf Çanakkale_Province  ,Esenyurt isPartOf Çanakkale_Province ,,(X (X)),,1,1
13,"Trinidad_and_Tobago_Civil_Aviation_Authority city Cabreros_del_Río Cabreros_del_Río country United_States Bahrain_International_Airport location Almenara_de_Adaja Bahrain_International_Airport operatingOrganisation Trinidad_and_Tobago_Civil_Aviation_Authority Bahrain_International_Airport runwayLength 2900 Bahrain_International_Airport runwayName ""09R/27L""  ","Trinidad_and_Tobago_Civil_Aviation_Authority city Cabreros_del_Río Cabreros_del_Río country United_States Bahrain_International_Airport location Almenara_de_Adaja Bahrain_International_Airport operatingOrganisation Trinidad_and_Tobago_Civil_Aviation_Authority Bahrain_International_Airport runwayLength 2900 Bahrain_International_Airport runwayName ""09R/27L"" ",,(X (X) (X) (X) (X (X (X)))),mixed,1,6
14,"Emil_Rilke background ""Ruth_Ribicoff"" Deathdream musicComposer Emil_Rilke Deathdream producer Sachin_Tendulkar Deathdream releaseDate ""1923-11-18""  ","Emil_Rilke background ""Ruth_Ribicoff"" Deathdream musicComposer Emil_Rilke Deathdream producer Sachin_Tendulkar Deathdream releaseDate ""1923-11-18"" ",,(X (X) (X) (X (X))),mixed,1,4
15,Sikh_Misl leaderTitle Catholicos  ,Sikh_Misl leaderTitle Catholicos ,,(X (X)),,1,1
16,"Union_Pacific_6922 buildDate ""Dr._G._P._Prabhukumar"" Union_Pacific_6922 builder SSAB Union_Pacific_6922 length 185.0_(centimetres) Union_Pacific_6922 totalProduction 27  ","Union_Pacific_6922 buildDate ""Dr._G._P._Prabhukumar"" Union_Pacific_6922 builder SSAB Union_Pacific_6922 length 185.0_(centimetres) Union_Pacific_6922 totalProduction 27 ",,(X (X) (X) (X) (X)),sibling,1,4
17,Mermaid_(Train_song) recordLabel BMG_Records_GmbH  ,Mermaid_(Train_song) recordLabel BMG_Records_GmbH ,,(X (X)),,1,1
18,casting leaderTitle New_Okhla_Industrial_Development_Authority_(NOIDA)  ,casting leaderTitle New_Okhla_Industrial_Development_Authority_(NOIDA) ,,(X (X)),,1,1
19,Kiss_the_Girls distributor Stacy_Katzman  ,Kiss_the_Girls distributor Stacy_Katzman ,,(X (X)),,1,1
20,The_White_Stripes associatedBand/associatedMusicalArtist Duran_Duran  ,The_White_Stripes associatedBand/associatedMusicalArtist Duran_Duran ,,(X (X)),,1,1
21,Rudimental artist Lech_Kaczyński Rudimental precededBy Auch Rudimental runtime 16800 Rudimental type live_album  ,Rudimental artist Lech_Kaczyński Rudimental precededBy Auch Rudimental runtime 16800 Rudimental type live_album ,,(X (X) (X) (X) (X)),sibling,1,4
22,Dwight_D._Eisenhower almaMater University_of_Cambridge Dwight_D._Eisenhower birthDate 1776-02-18 Dwight_D._Eisenhower professionalField Hořava–Lifshitz_gravity  ,Dwight_D._Eisenhower almaMater University_of_Cambridge Dwight_D._Eisenhower birthDate 1776-02-18 Dwight_D._Eisenhower professionalField Hořava–Lifshitz_gravity ,,(X (X) (X) (X)),sibling,1,3
23,Club_YLA league Southern_League_Premier_Division Club_YLA season 2011_Davis_Cup  ,Club_YLA league Southern_League_Premier_Division Club_YLA season 2011_Davis_Cup ,,(X (X) (X)),sibling,1,2
24,Miss_Sadie_Thompson distributor NOS Foster's_Home_for_Imaginary_Friends series Miss_Sadie_Thompson  ,Miss_Sadie_Thompson distributor NOS Foster's_Home_for_Imaginary_Friends series Miss_Sadie_Thompson ,,(X (X (X))),chain,1,2
25,Swept_Away distributor The_Progressive_Motion_Picture_Company Swept_Away imdbId 3544040000.0 Swept_Away producer The_Velvet_Underground Swept_Away starring Abou_Diaby Swept_Away writer Abou_Diaby  ,Swept_Away distributor The_Progressive_Motion_Picture_Company Swept_Away imdbId 3544040000.0 Swept_Away producer The_Velvet_Underground Swept_Away starring Abou_Diaby Swept_Away writer Abou_Diaby ,,(X (X) (X) (X) (X) (X)),sibling,1,5
26,Little_Bear certification American_Guild_of_Organists  ,Little_Bear certification American_Guild_of_Organists ,,(X (X)),,1,1
27,Tours_University numberOfStudents 1249.6  ,Tours_University numberOfStudents 1249.6 ,,(X (X)),,1,1
28,Kissin_U artist Forgotten_Rebels Kissin_U precededBy In_a_Reverie Kissin_U producer Forgotten_Rebels Kissin_U runtime 610.0  ,Kissin_U artist Forgotten_Rebels Kissin_U precededBy In_a_Reverie Kissin_U producer Forgotten_Rebels Kissin_U runtime 610.0 ,,(X (X) (X) (X) (X)),sibling,1,4
29,Taichang_Emperor birthDate 1776-02-18 Taichang_Emperor birthPlace Poznań  ,Taichang_Emperor birthDate 1776-02-18 Taichang_Emperor birthPlace Poznań ,,(X (X) (X)),sibling,1,2
30,Wujing_Zongyao precededBy Adhisaya_Manithan  ,Wujing_Zongyao precededBy Adhisaya_Manithan ,,(X (X)),,1,1
31,"916 budget 89.0 916 distributor Lotus_Film 916 distributor easyJet 916 editing ""Dr._G._P._Prabhukumar"" 916 language en 916 runtime 0004319 916 writer Charly_Gaul  ","916 budget 89.0 916 distributor Lotus_Film 916 distributor easyJet 916 editing ""Dr._G._P._Prabhukumar"" 916 language en 916 runtime 0004319 916 writer Charly_Gaul ",,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
32,Rafael_Nadal birthDate 1776-02-18 Rafael_Nadal birthPlace Karlsruhe Rafael_Nadal birthPlace Russian_Soviet_Federative_Socialist_Republic Rafael_Nadal deathDate 1994-06-14 Rafael_Nadal deathPlace Mexico Rafael_Nadal nationality Mexico  ,Rafael_Nadal birthDate 1776-02-18 Rafael_Nadal birthPlace Karlsruhe Rafael_Nadal birthPlace Russian_Soviet_Federative_Socialist_Republic Rafael_Nadal deathDate 1994-06-14 Rafael_Nadal deathPlace Mexico Rafael_Nadal nationality Mexico ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
33,São_Domingos country Great_Britain São_Domingos elevationAboveTheSeaLevel 3.16 São_Domingos isPartOf Jalisco São_Domingos leaderTitle Gail_Williams São_Domingos populationDensity 610.0 São_Domingos timeZone UTC+03:00 São_Domingos type City  ,São_Domingos country Great_Britain São_Domingos elevationAboveTheSeaLevel 3.16 São_Domingos isPartOf Jalisco São_Domingos leaderTitle Gail_Williams São_Domingos populationDensity 610.0 São_Domingos timeZone UTC+03:00 São_Domingos type City ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
34,The_Violinist category Contributing_property The_Violinist country Israel Costilla_County hasToItsSoutheast Carroll_County_Maryland The_Violinist location Costilla_County  ,The_Violinist category Contributing_property The_Violinist country Israel Costilla_County hasToItsSoutheast Carroll_County_Maryland The_Violinist location Costilla_County ,,(X (X) (X) (X (X))),mixed,1,4
35,Mermaid_(Train_song) followedBy Focus_Features Mermaid_(Train_song) genre sophisti-pop Mermaid_(Train_song) genre German_jazz Mermaid_(Train_song) precededBy Steve_Bright Mermaid_(Train_song) producer Espionage_(production_team) Mermaid_(Train_song) releaseDate 1776-02-18 Mermaid_(Train_song) runtime 175.26  ,Mermaid_(Train_song) followedBy Focus_Features Mermaid_(Train_song) genre sophisti-pop Mermaid_(Train_song) genre German_jazz Mermaid_(Train_song) precededBy Steve_Bright Mermaid_(Train_song) producer Espionage_(production_team) Mermaid_(Train_song) releaseDate 1776-02-18 Mermaid_(Train_song) runtime 175.26 ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
36,Kissin_U genre pansori  ,Kissin_U genre pansori ,,(X (X)),,1,1
37,Leo_III_the_Syrian birthPlace Świnoujście Leo_III_the_Syrian weight 175.26  ,Leo_III_the_Syrian birthPlace Świnoujście Leo_III_the_Syrian weight 175.26 ,,(X (X) (X)),sibling,1,2
38,United_States longName Israel  ,United_States longName Israel ,,(X (X)),,1,1
39,Marengo genre ethereal_wave Marengo genre Schuhplattler Marengo releaseDate 1994-06-14  ,Marengo genre ethereal_wave Marengo genre Schuhplattler Marengo releaseDate 1994-06-14 ,,(X (X) (X) (X)),sibling,1,3
40,Mermaid_(Train_song) genre pop-punk Mermaid_(Train_song) musicalBand brake Mermaid_(Train_song) recordLabel Argo_Records  ,Mermaid_(Train_song) genre pop-punk Mermaid_(Train_song) musicalBand brake Mermaid_(Train_song) recordLabel Argo_Records ,,(X (X) (X) (X)),sibling,1,3
41,Fort_William_College campus The_Progressive_Motion_Picture_Company Fort_William_College city Behringwerke Fort_William_College director Marie_Curie Fort_William_College established 2000 Polish_Social_and_Cultural_Association location Shanghai Fort_William_College wasGivenTheTechnicalCampusStatusBy Polish_Social_and_Cultural_Association  ,Fort_William_College campus The_Progressive_Motion_Picture_Company Fort_William_College city Behringwerke Fort_William_College director Marie_Curie Fort_William_College established 2000 Polish_Social_and_Cultural_Association location Shanghai Fort_William_College wasGivenTheTechnicalCampusStatusBy Polish_Social_and_Cultural_Association ,,(X (X) (X) (X) (X) (X (X))),mixed,1,6
42,Carlo_Azeglio_Ciampi birthPlace Karlsruhe Karlsruhe country France United_States language Caluyanon Carlo_Azeglio_Ciampi nationality United_States Carlo_Azeglio_Ciampi training School_of_Applied_Arts_in_Stuttgart  ,Carlo_Azeglio_Ciampi birthPlace Karlsruhe Karlsruhe country France United_States language Caluyanon Carlo_Azeglio_Ciampi nationality United_States Carlo_Azeglio_Ciampi training School_of_Applied_Arts_in_Stuttgart ,,(X (X) (X (X)) (X (X))),mixed,1,5
43,Alien_Siege editor Vladislav_Pavlovich Alien_Siege musicComposer Hermann_Maier Alien_Siege producer Haakon_Ericsson Alien_Siege runtime 175.26  ,Alien_Siege editor Vladislav_Pavlovich Alien_Siege musicComposer Hermann_Maier Alien_Siege producer Haakon_Ericsson Alien_Siege runtime 175.26 ,,(X (X) (X) (X) (X)),sibling,1,4
44,Marie_Poussepin nationality Mexico  ,Marie_Poussepin nationality Mexico ,,(X (X)),,1,1
45,Aristotle birthDate 1942-01-01 Aristotle deathDate 2009-06-01 Aristotle deathPlace United_States  ,Aristotle birthDate 1942-01-01 Aristotle deathDate 2009-06-01 Aristotle deathPlace United_States ,,(X (X) (X) (X)),sibling,1,3
