id,triples,data_unit,actual,shape,shape_type,local_size,size
0,Brandon_Carter knownFor Doomsday_argument  ,Brandon_Carter knownFor Doomsday_argument ,,(X (X)),,1,1
1,"Piotr_Hallmann birthPlace Gdynia,_Poland Gdynia,_Poland timeZone Central_European_Time Piotr_Hallmann weight 70.308  ","Piotr_Hallmann birthPlace Gdynia,_Poland Gdynia,_Poland timeZone Central_European_Time Piotr_Hallmann weight 70.308 ",,(X (X) (X (X))),mixed,1,3
2,Darinka_Dentcheva influencedBy Andrzej_Piotr_Ruszczyński Darinka_Dentcheva professionalField Mathematical_optimization  ,Darinka_Dentcheva influencedBy Andrzej_Piotr_Ruszczyński Darinka_Dentcheva professionalField Mathematical_optimization ,,(X (X) (X)),sibling,1,2
3,Istanbul utcOffset +2  ,Istanbul utcOffset +2 ,,(X (X)),,1,1
4,Nie_Haisheng birthDate 1964-10-13 Nie_Haisheng nationality People's_Republic_of_China  ,Nie_Haisheng birthDate 1964-10-13 Nie_Haisheng nationality People's_Republic_of_China ,,(X (X) (X)),sibling,1,2
5,"Ciudad_Ayala country Mexico Ciudad_Ayala governmentType Council-manager_government Ciudad_Ayala leaderTitle ""City Manager"" Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationMetro 1777539 Ciudad_Ayala type City Ciudad_Ayala utcOffset −6  ","Ciudad_Ayala country Mexico Ciudad_Ayala governmentType Council-manager_government Ciudad_Ayala leaderTitle ""City Manager"" Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationMetro 1777539 Ciudad_Ayala type City Ciudad_Ayala utcOffset −6 ",,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
6,"Olga_Bondareva almaMater Leningrad_State_University Olga_Bondareva birthDate 1937-04-27 Olga_Bondareva birthName ""Olga Nikolaevna Bondareva"" Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva knownFor Bondareva–Shapley_theorem  ","Olga_Bondareva almaMater Leningrad_State_University Olga_Bondareva birthDate 1937-04-27 Olga_Bondareva birthName ""Olga Nikolaevna Bondareva"" Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva knownFor Bondareva–Shapley_theorem ",,(X (X) (X) (X) (X) (X)),sibling,1,5
7,"Alan_B._Miller_Hall address ""101 Ukrop Way"" Mason_School_of_Business country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia  ","Alan_B._Miller_Hall address ""101 Ukrop Way"" Mason_School_of_Business country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia ",,(X (X) (X) (X (X))),mixed,1,4
8,Bedford_Aerodrome elevationAboveTheSeaLevel 83.2104 Bedford_Aerodrome runwayLength 1095.0  ,Bedford_Aerodrome elevationAboveTheSeaLevel 83.2104 Bedford_Aerodrome runwayLength 1095.0 ,,(X (X) (X)),sibling,1,2
9,Nie_Haisheng birthDate 1964-10-13 Nie_Haisheng nationality People's_Republic_of_China Nie_Haisheng occupation Fighter_pilot  ,Nie_Haisheng birthDate 1964-10-13 Nie_Haisheng nationality People's_Republic_of_China Nie_Haisheng occupation Fighter_pilot ,,(X (X) (X) (X)),sibling,1,3
10,"Abraham_A._Ribicoff birthPlace United_States Abraham_A._Ribicoff nationality American Abraham_A._Ribicoff office ""United States Secretary of Health, Education, and Welfare"" Abraham_A._Ribicoff spouse ""Ruth Ribicoff""  ","Abraham_A._Ribicoff birthPlace United_States Abraham_A._Ribicoff nationality American Abraham_A._Ribicoff office ""United States Secretary of Health, Education, and Welfare"" Abraham_A._Ribicoff spouse ""Ruth Ribicoff"" ",,(X (X) (X) (X) (X)),sibling,1,4
11,Andrew_Rayel associatedBand/associatedMusicalArtist Armin_van_Buuren Andrew_Rayel genre Trance_music  ,Andrew_Rayel associatedBand/associatedMusicalArtist Armin_van_Buuren Andrew_Rayel genre Trance_music ,,(X (X) (X)),sibling,1,2
12,Reşadiye isPartOf Tokat_Province  ,Reşadiye isPartOf Tokat_Province ,,(X (X)),,1,1
13,"ENAIRE city Madrid Madrid country Spain Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas Adolfo_Suárez_Madrid–Barajas_Airport operatingOrganisation ENAIRE Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 4349.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R""  ","ENAIRE city Madrid Madrid country Spain Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas Adolfo_Suárez_Madrid–Barajas_Airport operatingOrganisation ENAIRE Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 4349.0 Adolfo_Suárez_Madrid–Barajas_Airport runwayName ""14L/32R"" ",,(X (X) (X) (X) (X (X (X)))),mixed,1,6
14,Nicholas_Brodszky background non_performing_personnel English_Without_Tears musicComposer Nicholas_Brodszky English_Without_Tears producer Anatole_de_Grunwald English_Without_Tears releaseDate 1944-07-28  ,Nicholas_Brodszky background non_performing_personnel English_Without_Tears musicComposer Nicholas_Brodszky English_Without_Tears producer Anatole_de_Grunwald English_Without_Tears releaseDate 1944-07-28 ,,(X (X) (X) (X (X))),mixed,1,4
15,India leaderTitle President  ,India leaderTitle President ,,(X (X)),,1,1
16,"ALCO_RS-3 buildDate ""May 1950 - August 1956"" ALCO_RS-3 builder American_Locomotive_Company ALCO_RS-3 length 17068.8 (millimetres) ALCO_RS-3 totalProduction 1418  ","ALCO_RS-3 buildDate ""May 1950 - August 1956"" ALCO_RS-3 builder American_Locomotive_Company ALCO_RS-3 length 17068.8 (millimetres) ALCO_RS-3 totalProduction 1418 ",,(X (X) (X) (X) (X)),sibling,1,4
17,Mermaid_(Train_song) recordLabel Sony_Music_Entertainment  ,Mermaid_(Train_song) recordLabel Sony_Music_Entertainment ,,(X (X)),,1,1
