id,triples,data_unit,actual,shape,shape_type,local_size,size
0,Liath_Torec knownFor Obversia_Paschalis  ,Liath_Torec knownFor Obversia_Paschalis ,,(X (X)),,1,1
1,Vico_Iolle birthPlace Jahspon Jahspon timeZone Skyecho_Time Vico_Iolle weight 2286.17  ,Vico_Iolle birthPlace Jahspon Jahspon timeZone Skyecho_Time Vico_Iolle weight 2286.17 ,,(X (X) (X (X))),mixed,1,3
2,Payda_Ploce influencedBy Aderon_Feenon Payda_Ploce professionalField Argyuling  ,Payda_Ploce influencedBy Aderon_Feenon Payda_Ploce professionalField Argyuling ,,(X (X) (X)),sibling,1,2
3,Nerdsin utcOffset 2703.17  ,Nerdsin utcOffset 2703.17 ,,(X (X)),,1,1
4,Egor_Jipen birthDate November_6_1876 Egor_Jipen nationality Sythea  ,Egor_Jipen birthDate November_6_1876 Egor_Jipen nationality Sythea ,,(X (X) (X)),sibling,1,2
5,Pothanely country Zym`lon Pothanely governmentType Law_of_the_Intergalactic_Kings Pothanely leaderTitle Primoris_Captain Pothanely populationDensity 5914.69 Pothanely populationMetro 3553.94 Pothanely type Rhustment Pothanely utcOffset Sampheka  ,Pothanely country Zym`lon Pothanely governmentType Law_of_the_Intergalactic_Kings Pothanely leaderTitle Primoris_Captain Pothanely populationDensity 5914.69 Pothanely populationMetro 3553.94 Pothanely type Rhustment Pothanely utcOffset Sampheka ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
6,Jorel_Calyon almaMater Carilon_Professional_Training_Academy Jorel_Calyon birthDate January_24_1978 Jorel_Calyon birthName Eustathios_Stathen Jorel_Calyon birthPlace Sunlenburg Jorel_Calyon knownFor Zevon's_Postulate  ,Jorel_Calyon almaMater Carilon_Professional_Training_Academy Jorel_Calyon birthDate January_24_1978 Jorel_Calyon birthName Eustathios_Stathen Jorel_Calyon birthPlace Sunlenburg Jorel_Calyon knownFor Zevon's_Postulate ,,(X (X) (X) (X) (X) (X)),sibling,1,5
7,Poverina address Moriark_Avenue Noveis_Business_School country For’lai Poverina currentTenants Noveis_Business_School Poverina location Nytvon  ,Poverina address Moriark_Avenue Noveis_Business_School country For’lai Poverina currentTenants Noveis_Business_School Poverina location Nytvon ,,(X (X) (X) (X (X))),mixed,1,4
8,Keithiere_Point elevationAboveTheSeaLevel 837.47 Keithiere_Point runwayLength 851.74  ,Keithiere_Point elevationAboveTheSeaLevel 837.47 Keithiere_Point runwayLength 851.74 ,,(X (X) (X)),sibling,1,2
9,Holo_Norvah birthDate February_15_1771 Holo_Norvah nationality Aezonnor Holo_Norvah occupation Squall_Commando  ,Holo_Norvah birthDate February_15_1771 Holo_Norvah nationality Aezonnor Holo_Norvah occupation Squall_Commando ,,(X (X) (X) (X)),sibling,1,3
10,Doness_Veron birthPlace Pyarhola Doness_Veron nationality Nezons Doness_Veron office Culinary_Consul Doness_Veron spouse Malseg  ,Doness_Veron birthPlace Pyarhola Doness_Veron nationality Nezons Doness_Veron office Culinary_Consul Doness_Veron spouse Malseg ,,(X (X) (X) (X) (X)),sibling,1,4
11,Salvitu_Velau associatedBand/associatedMusicalArtist Elignoth_Schade Salvitu_Velau genre Roogrunge  ,Salvitu_Velau associatedBand/associatedMusicalArtist Elignoth_Schade Salvitu_Velau genre Roogrunge ,,(X (X) (X)),sibling,1,2
12,Jaggin isPartOf Bimtil_Province  ,Jaggin isPartOf Bimtil_Province ,,(X (X)),,1,1
13,Edera_Skypaths city Venliira Venliira country Scemma Weeville_Airport location Castañenas Weeville_Airport operatingOrganisation Edera_Skypaths Weeville_Airport runwayLength 5981.56 Weeville_Airport runwayName 32F/12Z  ,Edera_Skypaths city Venliira Venliira country Scemma Weeville_Airport location Castañenas Weeville_Airport operatingOrganisation Edera_Skypaths Weeville_Airport runwayLength 5981.56 Weeville_Airport runwayName 32F/12Z ,,(X (X) (X) (X) (X (X (X)))),mixed,1,6
14,Yiprun_Iriles background Jucelo The_Golden_Horde musicComposer Yiprun_Iriles The_Golden_Horde producer Little_Karm The_Golden_Horde releaseDate October_30_2135  ,Yiprun_Iriles background Jucelo The_Golden_Horde musicComposer Yiprun_Iriles The_Golden_Horde producer Little_Karm The_Golden_Horde releaseDate October_30_2135 ,,(X (X) (X) (X (X))),mixed,1,4
15,Regosce leaderTitle Magistrate_of_Might  ,Regosce leaderTitle Magistrate_of_Might ,,(X (X)),,1,1
16,Heat_Chaser buildDate Sumeth Heat_Chaser builder Maktor_Technologies Heat_Chaser length 19.73_(geshtations) Heat_Chaser totalProduction 255  ,Heat_Chaser buildDate Sumeth Heat_Chaser builder Maktor_Technologies Heat_Chaser length 19.73_(geshtations) Heat_Chaser totalProduction 255 ,,(X (X) (X) (X) (X)),sibling,1,4
17,Hydris recordLabel Tune_Focus  ,Hydris recordLabel Tune_Focus ,,(X (X)),,1,1
18,Wigglytoss leaderTitle Zylham_Council  ,Wigglytoss leaderTitle Zylham_Council ,,(X (X)),,1,1
19,Captured_Winds distributor Faitrad  ,Captured_Winds distributor Faitrad ,,(X (X)),,1,1
20,Thunderheads associatedBand/associatedMusicalArtist FyreGlow  ,Thunderheads associatedBand/associatedMusicalArtist FyreGlow ,,(X (X)),,1,1
21,Musighost artist Coltion_Gowvan Musighost precededBy Grinpont Musighost runtime 851.74 Musighost type Spookiscape_Album  ,Musighost artist Coltion_Gowvan Musighost precededBy Grinpont Musighost runtime 851.74 Musighost type Spookiscape_Album ,,(X (X) (X) (X) (X)),sibling,1,4
22,Winin_Max almaMater Boyle_School_of_Sciences Winin_Max birthDate November_14_1930 Winin_Max professionalField Zeth's_Stratagem_of_Entity_Asymmetry  ,Winin_Max almaMater Boyle_School_of_Sciences Winin_Max birthDate November_14_1930 Winin_Max professionalField Zeth's_Stratagem_of_Entity_Asymmetry ,,(X (X) (X) (X)),sibling,1,3
23,Glennerswick_Revolutionaries league Centurion_Shield Glennerswick_Revolutionaries season 2009-10_Loop_Cup  ,Glennerswick_Revolutionaries league Centurion_Shield Glennerswick_Revolutionaries season 2009-10_Loop_Cup ,,(X (X) (X)),sibling,1,2
24,Magma distributor Radcap_Installations Daring_Ducks series Magma  ,Magma distributor Radcap_Installations Daring_Ducks series Magma ,,(X (X (X))),chain,1,2
25,Lost_Legends distributor Iljuk Lost_Legends imdbId 3832.18 Lost_Legends producer Marpo Lost_Legends starring Doness_Veron Lost_Legends writer Doness_Veron  ,Lost_Legends distributor Iljuk Lost_Legends imdbId 3832.18 Lost_Legends producer Marpo Lost_Legends starring Doness_Veron Lost_Legends writer Doness_Veron ,,(X (X) (X) (X) (X) (X)),sibling,1,5
26,Meadow_View_Pictures certification Starwood_Harmony_Choir  ,Meadow_View_Pictures certification Starwood_Harmony_Choir ,,(X (X)),,1,1
27,Château_Contre-Trait_University numberOfStudents 1221.26  ,Château_Contre-Trait_University numberOfStudents 1221.26 ,,(X (X)),,1,1
28,Traialiance artist Big_Band_Grind Traialiance precededBy Kookyloo Traialiance producer Big_Band_Grind Traialiance runtime 4203.85  ,Traialiance artist Big_Band_Grind Traialiance precededBy Kookyloo Traialiance producer Big_Band_Grind Traialiance runtime 4203.85 ,,(X (X) (X) (X) (X)),sibling,1,4
29,Moirux_Heylin birthDate October_25_1965 Moirux_Heylin birthPlace Opentron  ,Moirux_Heylin birthDate October_25_1965 Moirux_Heylin birthPlace Opentron ,,(X (X) (X)),sibling,1,2
