id,triples,data_unit,actual,shape,shape_type,local_size,size
0,Empress_Yu_Wenjun Employer Omsk_State_Technical_University Empress_Yu_Wenjun Occupation Latin_Catholic_priest Empress_Yu_Wenjun WritingLanguage Yugh  ,Empress_Yu_Wenjun Employer Omsk_State_Technical_University Empress_Yu_Wenjun Occupation Latin_Catholic_priest Empress_Yu_Wenjun WritingLanguage Yugh ,,unknown,unknown,1,3
1,Heinrich_Dorn Occupation tutor Heinrich_Dorn PlaceOfBirth Munich  ,Heinrich_Dorn Occupation tutor Heinrich_Dorn PlaceOfBirth Munich ,,unknown,unknown,1,2
2,Jorge_Alessandri FieldOfWork 花關索傳 Jorge_Alessandri NotableWork The_Energy_of_Slaves Jorge_Alessandri Occupation financier Jorge_Alessandri PlaceOfBurial Bergkirche Jorge_Alessandri PlaceOfDeath Bonn Jorge_Alessandri Spouse Kathleen_Lonsdale Jorge_Alessandri StudentOf Salh_d'Escola  ,Jorge_Alessandri FieldOfWork 花關索傳 Jorge_Alessandri NotableWork The_Energy_of_Slaves Jorge_Alessandri Occupation financier Jorge_Alessandri PlaceOfBurial Bergkirche Jorge_Alessandri PlaceOfDeath Bonn Jorge_Alessandri Spouse Kathleen_Lonsdale Jorge_Alessandri StudentOf Salh_d'Escola ,,unknown,unknown,1,7
3,Grigory_Aleksandrovich_Pushkin Employer Organisation_for_the_Prohibition_of_Chemical_Weapons Grigory_Aleksandrovich_Pushkin HasFather Ochi_Etsujin Grigory_Aleksandrovich_Pushkin NominatedFor Nobel_Prize_in_Physics Grigory_Aleksandrovich_Pushkin PlaceOfBirth Kilgoris Grigory_Aleksandrovich_Pushkin PlaceOfDeath Dubai  ,Grigory_Aleksandrovich_Pushkin Employer Organisation_for_the_Prohibition_of_Chemical_Weapons Grigory_Aleksandrovich_Pushkin HasFather Ochi_Etsujin Grigory_Aleksandrovich_Pushkin NominatedFor Nobel_Prize_in_Physics Grigory_Aleksandrovich_Pushkin PlaceOfBirth Kilgoris Grigory_Aleksandrovich_Pushkin PlaceOfDeath Dubai ,,unknown,unknown,1,5
4,Empress_Xiao DateOfBirth 1833-01-06 Empress_Xiao NativeLanguage Australian_English Empress_Xiao PlaceOfDeath Michigan_City  ,Empress_Xiao DateOfBirth 1833-01-06 Empress_Xiao NativeLanguage Australian_English Empress_Xiao PlaceOfDeath Michigan_City ,,unknown,unknown,1,3
5,Emperor_Chengdy_of_Han DateOfDeath 1956-06-06 Emperor_Chengdy_of_Han PlaceOfBirth Enfield Emperor_Chengdy_of_Han PlaceOfDeath Cambridge  ,Emperor_Chengdy_of_Han DateOfDeath 1956-06-06 Emperor_Chengdy_of_Han PlaceOfBirth Enfield Emperor_Chengdy_of_Han PlaceOfDeath Cambridge ,,unknown,unknown,1,3
6,Marie-Isabelle_Taddeï DateOfDeath 1992-10-08 Marie-Isabelle_Taddeï InfluencedBy Tory_Burch Marie-Isabelle_Taddeï NotableWork Nozarashi_kikō Marie-Isabelle_Taddeï Occupation film_director Marie-Isabelle_Taddeï PlaceOfBurial Sainte-Geneviève-des-Bois_Russian_Cemetery Marie-Isabelle_Taddeï PositionHeld Ancient_Roman_senator  ,Marie-Isabelle_Taddeï DateOfDeath 1992-10-08 Marie-Isabelle_Taddeï InfluencedBy Tory_Burch Marie-Isabelle_Taddeï NotableWork Nozarashi_kikō Marie-Isabelle_Taddeï Occupation film_director Marie-Isabelle_Taddeï PlaceOfBurial Sainte-Geneviève-des-Bois_Russian_Cemetery Marie-Isabelle_Taddeï PositionHeld Ancient_Roman_senator ,,unknown,unknown,1,6
7,Edith_Frank-Holländer Occupation alpine_skier Edith_Frank-Holländer WritingLanguage Khoekhoe  ,Edith_Frank-Holländer Occupation alpine_skier Edith_Frank-Holländer WritingLanguage Khoekhoe ,,unknown,unknown,1,2
8,Quintus_Curtius_Rufus Family Ahom_dynasty Quintus_Curtius_Rufus HasChild Carl_Sagan Diego_Velázquez HasFather Vincenzo_Lavigna Carl_Sagan HasMother Diego_Velázquez Diego_Velázquez HasMother Johann_Ambrosius_Bach  ,Quintus_Curtius_Rufus Family Ahom_dynasty Quintus_Curtius_Rufus HasChild Carl_Sagan Diego_Velázquez HasFather Vincenzo_Lavigna Carl_Sagan HasMother Diego_Velázquez Diego_Velázquez HasMother Johann_Ambrosius_Bach ,,unknown,unknown,1,5
9,Emperor_Renzong_of_Western_Xia CauseOfDeath liver_failure Emperor_Renzong_of_Western_Xia DateOfBirth 1889-07-01 Emperor_Renzong_of_Western_Xia NativeLanguage British_English Emperor_Renzong_of_Western_Xia Occupation film_actor  ,Emperor_Renzong_of_Western_Xia CauseOfDeath liver_failure Emperor_Renzong_of_Western_Xia DateOfBirth 1889-07-01 Emperor_Renzong_of_Western_Xia NativeLanguage British_English Emperor_Renzong_of_Western_Xia Occupation film_actor ,,unknown,unknown,1,4
