id,triples,data_unit,actual,shape,shape_type,local_size,size
0,Hélinand_of_Froidmont Employer University_of_Toulouse Hélinand_of_Froidmont Occupation monk Hélinand_of_Froidmont WritingLanguage Latin  ,Hélinand_of_Froidmont Employer University_of_Toulouse Hélinand_of_Froidmont Occupation monk Hélinand_of_Froidmont WritingLanguage Latin ,,unknown,unknown,1,3
1,Kazimir_Tarman Occupation science_writer Kazimir_Tarman PlaceOfBirth Maribor  ,Kazimir_Tarman Occupation science_writer Kazimir_Tarman PlaceOfBirth Maribor ,,unknown,unknown,1,2
2,Günter_Grass FieldOfWork fiction Günter_Grass NotableWork Cat_and_Mouse Günter_Grass Occupation printmaker Günter_Grass PlaceOfBurial Village_church_Behlendorf Günter_Grass PlaceOfDeath Lübeck Günter_Grass Spouse Anna_Schwarz Günter_Grass StudentOf Josef_Mages  ,Günter_Grass FieldOfWork fiction Günter_Grass NotableWork Cat_and_Mouse Günter_Grass Occupation printmaker Günter_Grass PlaceOfBurial Village_church_Behlendorf Günter_Grass PlaceOfDeath Lübeck Günter_Grass Spouse Anna_Schwarz Günter_Grass StudentOf Josef_Mages ,,unknown,unknown,1,7
3,U_Thant Employer United_Nations U_Thant HasFather Po_Hnit U_Thant NominatedFor Nobel_Peace_Prize U_Thant PlaceOfBirth Pantanaw U_Thant PlaceOfDeath New_York_City  ,U_Thant Employer United_Nations U_Thant HasFather Po_Hnit U_Thant NominatedFor Nobel_Peace_Prize U_Thant PlaceOfBirth Pantanaw U_Thant PlaceOfDeath New_York_City ,,unknown,unknown,1,5
4,Rufus_R._Jones DateOfBirth 1933-07-04 Rufus_R._Jones NativeLanguage English Rufus_R._Jones PlaceOfDeath Kansas_City  ,Rufus_R._Jones DateOfBirth 1933-07-04 Rufus_R._Jones NativeLanguage English Rufus_R._Jones PlaceOfDeath Kansas_City ,,unknown,unknown,1,3
5,Mike_Hawthorn DateOfDeath 1959-01-22 Mike_Hawthorn PlaceOfBirth Mexborough Mike_Hawthorn PlaceOfDeath Guildford  ,Mike_Hawthorn DateOfDeath 1959-01-22 Mike_Hawthorn PlaceOfBirth Mexborough Mike_Hawthorn PlaceOfDeath Guildford ,,unknown,unknown,1,3
6,Pierre-Joseph_Proudhon DateOfDeath 1865-01-19 Pierre-Joseph_Proudhon InfluencedBy Claude_Henri_de_Rouvroy_comte_de_Saint-Simon Pierre-Joseph_Proudhon NotableWork What_Is_Property? Pierre-Joseph_Proudhon Occupation economist Pierre-Joseph_Proudhon PlaceOfBurial Montparnasse_Cemetery Pierre-Joseph_Proudhon PositionHeld member_of_the_French_National_Assembly  ,Pierre-Joseph_Proudhon DateOfDeath 1865-01-19 Pierre-Joseph_Proudhon InfluencedBy Claude_Henri_de_Rouvroy_comte_de_Saint-Simon Pierre-Joseph_Proudhon NotableWork What_Is_Property? Pierre-Joseph_Proudhon Occupation economist Pierre-Joseph_Proudhon PlaceOfBurial Montparnasse_Cemetery Pierre-Joseph_Proudhon PositionHeld member_of_the_French_National_Assembly ,,unknown,unknown,1,6
7,John_of_Hauville Occupation poet John_of_Hauville WritingLanguage Latin  ,John_of_Hauville Occupation poet John_of_Hauville WritingLanguage Latin ,,unknown,unknown,1,2
8,Antiochus_III_the_Great Family Seleucids Antiochus_III_the_Great HasChild Antiochus_IV_Epiphanes Laodice_III HasFather Mithridates_II_of_Pontus Antiochus_IV_Epiphanes HasMother Laodice_III Laodice_III HasMother Laodice  ,Antiochus_III_the_Great Family Seleucids Antiochus_III_the_Great HasChild Antiochus_IV_Epiphanes Laodice_III HasFather Mithridates_II_of_Pontus Antiochus_IV_Epiphanes HasMother Laodice_III Laodice_III HasMother Laodice ,,unknown,unknown,1,5
9,Joan_Lorring CauseOfDeath disease Joan_Lorring DateOfBirth 1926-04-17 Joan_Lorring NativeLanguage English Joan_Lorring Occupation television_actor  ,Joan_Lorring CauseOfDeath disease Joan_Lorring DateOfBirth 1926-04-17 Joan_Lorring NativeLanguage English Joan_Lorring Occupation television_actor ,,unknown,unknown,1,4
10,Italo_Balbo AcademicDegree laurea Italo_Balbo CauseOfDeath killed_in_action Italo_Balbo DateOfBirth 1896 Italo_Balbo PlaceOfBirth Quartesana Italo_Balbo PositionHeld member_of_the_Chamber_of_Deputies_of_the_Kingdom_of_Italy  ,Italo_Balbo AcademicDegree laurea Italo_Balbo CauseOfDeath killed_in_action Italo_Balbo DateOfBirth 1896 Italo_Balbo PlaceOfBirth Quartesana Italo_Balbo PositionHeld member_of_the_Chamber_of_Deputies_of_the_Kingdom_of_Italy ,,unknown,unknown,1,5
11,Béroul Occupation storyteller Béroul Occupation writer  ,Béroul Occupation storyteller Béroul Occupation writer ,,unknown,unknown,1,2
12,Corentin_Martins Occupation association_football_manager Corentin_Martins ParticipantIn UEFA_Euro_1996  ,Corentin_Martins Occupation association_football_manager Corentin_Martins ParticipantIn UEFA_Euro_1996 ,,unknown,unknown,1,2
13,Elsa_Triolet PlaceOfBirth Moscow Elsa_Triolet PlaceOfDeath Saint-Arnoult-en-Yvelines  ,Elsa_Triolet PlaceOfBirth Moscow Elsa_Triolet PlaceOfDeath Saint-Arnoult-en-Yvelines ,,unknown,unknown,1,2
