id,triples,data_unit,actual,shape,shape_type,local_size,size
0,Torin_Yosh Employer Strati_National_University Torin_Yosh Occupation Celestial_Oracle_of_Lune Torin_Yosh WritingLanguage Kukor  ,Torin_Yosh Employer Strati_National_University Torin_Yosh Occupation Celestial_Oracle_of_Lune Torin_Yosh WritingLanguage Kukor ,,unknown,unknown,1,3
1,Oshedon_Zaqar Occupation Neuromantic Oshedon_Zaqar PlaceOfBirth Astemal  ,Oshedon_Zaqar Occupation Neuromantic Oshedon_Zaqar PlaceOfBirth Astemal ,,unknown,unknown,1,2
2,"Ranor_Ondale FieldOfWork Furgonalden Ranor_Ondale NotableWork ""Storm_of_the_King_of_the_Jungle"" Ranor_Ondale Occupation Preceptor_Inventor Ranor_Ondale PlaceOfBurial Valathron_Pinnacle_Chapel Ranor_Ondale PlaceOfDeath Fustetra Ranor_Ondale Spouse Ayre_Zhirina Ranor_Ondale StudentOf Sliman_Sing  ","Ranor_Ondale FieldOfWork Furgonalden Ranor_Ondale NotableWork ""Storm_of_the_King_of_the_Jungle"" Ranor_Ondale Occupation Preceptor_Inventor Ranor_Ondale PlaceOfBurial Valathron_Pinnacle_Chapel Ranor_Ondale PlaceOfDeath Fustetra Ranor_Ondale Spouse Ayre_Zhirina Ranor_Ondale StudentOf Sliman_Sing ",,unknown,unknown,1,7
3,Nolin_Haran Employer Vortex_League Nolin_Haran HasFather Elai_Shorce Nolin_Haran NominatedFor Grandiose_Nobel_Prize_for_Political_Leadership Nolin_Haran PlaceOfBirth Elbaro Nolin_Haran PlaceOfDeath Akidity  ,Nolin_Haran Employer Vortex_League Nolin_Haran HasFather Elai_Shorce Nolin_Haran NominatedFor Grandiose_Nobel_Prize_for_Political_Leadership Nolin_Haran PlaceOfBirth Elbaro Nolin_Haran PlaceOfDeath Akidity ,,unknown,unknown,1,5
4,Kole_Maasing DateOfBirth 1940-03-10 Kole_Maasing NativeLanguage Akoloni Kole_Maasing PlaceOfDeath Gravelwood  ,Kole_Maasing DateOfBirth 1940-03-10 Kole_Maasing NativeLanguage Akoloni Kole_Maasing PlaceOfDeath Gravelwood ,,unknown,unknown,1,3
5,Holo_Norvah DateOfDeath 1943-02-22 Holo_Norvah PlaceOfBirth Darskon Holo_Norvah PlaceOfDeath Brex  ,Holo_Norvah DateOfDeath 1943-02-22 Holo_Norvah PlaceOfBirth Darskon Holo_Norvah PlaceOfDeath Brex ,,unknown,unknown,1,3
6,"Gevril_Eino DateOfDeath 1707-05-23 Gevril_Eino InfluencedBy Little_Karm Gevril_Eino NotableWork ""Angel_of_the_Deluge"" Gevril_Eino Occupation Roboticist Gevril_Eino PlaceOfBurial Eternity's_Mud_River Gevril_Eino PositionHeld Grand_Crusader  ","Gevril_Eino DateOfDeath 1707-05-23 Gevril_Eino InfluencedBy Little_Karm Gevril_Eino NotableWork ""Angel_of_the_Deluge"" Gevril_Eino Occupation Roboticist Gevril_Eino PlaceOfBurial Eternity's_Mud_River Gevril_Eino PositionHeld Grand_Crusader ",,unknown,unknown,1,6
7,Malonor_Vosse Occupation Caravanner Malonor_Vosse WritingLanguage Lormaski  ,Malonor_Vosse Occupation Caravanner Malonor_Vosse WritingLanguage Lormaski ,,unknown,unknown,1,2
8,Parem_Ripin Family Jyregaard_Dynasty Parem_Ripin HasChild Nesett_Nialan Nolin_Haran HasFather Jaro_Tynos Nesett_Nialan HasMother Nolin_Haran Nolin_Haran HasMother Socal_Amell  ,Parem_Ripin Family Jyregaard_Dynasty Parem_Ripin HasChild Nesett_Nialan Nolin_Haran HasFather Jaro_Tynos Nesett_Nialan HasMother Nolin_Haran Nolin_Haran HasMother Socal_Amell ,,unknown,unknown,1,5
9,Phrascy_Yavon CauseOfDeath Heptacrium Phrascy_Yavon DateOfBirth 1732-03-31 Phrascy_Yavon NativeLanguage Jelorin Phrascy_Yavon Occupation Koral  ,Phrascy_Yavon CauseOfDeath Heptacrium Phrascy_Yavon DateOfBirth 1732-03-31 Phrascy_Yavon NativeLanguage Jelorin Phrascy_Yavon Occupation Koral ,,unknown,unknown,1,4
10,Nash_Zuenir AcademicDegree Biquadricakist Nash_Zuenir CauseOfDeath Glacial_Massacres Nash_Zuenir DateOfBirth 1949 Nash_Zuenir PlaceOfBirth Impf Nash_Zuenir PositionHeld Deput_Armandar  ,Nash_Zuenir AcademicDegree Biquadricakist Nash_Zuenir CauseOfDeath Glacial_Massacres Nash_Zuenir DateOfBirth 1949 Nash_Zuenir PlaceOfBirth Impf Nash_Zuenir PositionHeld Deput_Armandar ,,unknown,unknown,1,5
11,Amon_Ducam Occupation Labyrinthologist Amon_Ducam Occupation Plasmacaster  ,Amon_Ducam Occupation Labyrinthologist Amon_Ducam Occupation Plasmacaster ,,unknown,unknown,1,2
12,Emryna_Nwinki Occupation Horizon_Stitcher Emryna_Nwinki ParticipantIn Ignatus_Cup  ,Emryna_Nwinki Occupation Horizon_Stitcher Emryna_Nwinki ParticipantIn Ignatus_Cup ,,unknown,unknown,1,2
13,Ranor_Ondale PlaceOfBirth Selmentia Ranor_Ondale PlaceOfDeath Cornac  ,Ranor_Ondale PlaceOfBirth Selmentia Ranor_Ondale PlaceOfDeath Cornac ,,unknown,unknown,1,2
14,"Jeccig_Viidon AcademicDegree Primareverse Jeccig_Viidon FieldOfWork Polymagnetics Jeccig_Viidon NotableWork ""The_Secret_Treasures_of_Pangaeum"" Jeccig_Viidon Occupation Conduit_Dancer Jeccig_Viidon Relative Eustathios_Stathen Jeccig_Viidon StudentOf Asthona_Meyas Jeccig_Viidon WritingLanguage Vieberast  ","Jeccig_Viidon AcademicDegree Primareverse Jeccig_Viidon FieldOfWork Polymagnetics Jeccig_Viidon NotableWork ""The_Secret_Treasures_of_Pangaeum"" Jeccig_Viidon Occupation Conduit_Dancer Jeccig_Viidon Relative Eustathios_Stathen Jeccig_Viidon StudentOf Asthona_Meyas Jeccig_Viidon WritingLanguage Vieberast ",,unknown,unknown,1,7
15,Brineon_Darka DateOfDeath 1994-07-12 Brineon_Darka ParticipantIn Erobran_Atheletics Brineon_Darka Sport Durbles  ,Brineon_Darka DateOfDeath 1994-07-12 Brineon_Darka ParticipantIn Erobran_Atheletics Brineon_Darka Sport Durbles ,,unknown,unknown,1,3
16,Zozo_Isandria HasFather Ryteon_Vem Zozo_Isandria Mass 71.0_kilogram Zozo_Isandria Occupation Anchorblocker Zozo_Isandria ParticipantIn Tour_du_Grand_Cayenne Zozo_Isandria ReligionOrWorldview Fegishion Zozo_Isandria Sport Floorkin Zozo_Isandria UnmarriedPartner Royne_Balre  ,Zozo_Isandria HasFather Ryteon_Vem Zozo_Isandria Mass 71.0_kilogram Zozo_Isandria Occupation Anchorblocker Zozo_Isandria ParticipantIn Tour_du_Grand_Cayenne Zozo_Isandria ReligionOrWorldview Fegishion Zozo_Isandria Sport Floorkin Zozo_Isandria UnmarriedPartner Royne_Balre ,,unknown,unknown,1,7
17,Asthona_Meyas HasChild Anzil_Davryn Asthona_Meyas Occupation Plunger_Pilot Asthona_Meyas PlaceOfBirth Khvorost Asthona_Meyas PlaceOfBurial Celestial_Cross_Mount Asthona_Meyas Spouse Xerain_Louve  ,Asthona_Meyas HasChild Anzil_Davryn Asthona_Meyas Occupation Plunger_Pilot Asthona_Meyas PlaceOfBirth Khvorost Asthona_Meyas PlaceOfBurial Celestial_Cross_Mount Asthona_Meyas Spouse Xerain_Louve ,,unknown,unknown,1,5
