id,triples,data_unit,actual,shape,shape_type,local_size,size
0,A-Rosa_Luna shipOrdered 2004-01-22  ,A-Rosa_Luna shipOrdered 2004-01-22 ,The A-Rosa Luna ship was ordered on January 22nd 2004.,(X (X)),,1,1
1,"Aaron_S._Daggett birthPlace Greene,_Maine  ","Aaron_S._Daggett birthPlace Greene,_Maine ","The birth place of Aaron S. Daggett is Greene, Maine.",(X (X)),,1,1
2,Houston_Texans city Texas Houston_Texans city Houston Akeem_Dent debutTeam Atlanta_Falcons Akeem_Dent formerTeam Houston_Texans Atlanta_Falcons owner Arthur_Blank  ,Houston_Texans city Texas Houston_Texans city Houston Akeem_Dent debutTeam Atlanta_Falcons Akeem_Dent formerTeam Houston_Texans Atlanta_Falcons owner Arthur_Blank ,"Akeem Dent, who debuted with the Atlanta Falcons, has played with the Houston (TX) based, Houston Texans. The Atlanta Falcons are owned by Arthur Blank.",(X (X (X)) (X (X) (X))),mixed,1,5
3,"Al_Asad_Airbase location ""Al Anbar Province, Iraq"" Al_Asad_Airbase operatingOrganisation United_States_Air_Force Al_Asad_Airbase runwayLength 3992.88  ","Al_Asad_Airbase location ""Al Anbar Province, Iraq"" Al_Asad_Airbase operatingOrganisation United_States_Air_Force Al_Asad_Airbase runwayLength 3992.88 ","The Al Asad Airbase is situated in the Al Anbar Province, Iraq, is run by the United States Air Force and has a runway of 3992.88m.",(X (X) (X) (X)),sibling,1,3
4,Antwerp_International_Airport cityServed Antwerp Antwerp mayor Bart_De_Wever  ,Antwerp_International_Airport cityServed Antwerp Antwerp mayor Bart_De_Wever ,"Bart De Wever is the mayor of Antwerp, which is served by Antwerp International airport.",(X (X (X))),chain,1,2
5,Greece capital Athens Greece leader Nikos_Voutsis Greece leader Prokopis_Pavlopoulos A.E_Dimitra_Efxeinoupolis location Greece  ,Greece capital Athens Greece leader Nikos_Voutsis Greece leader Prokopis_Pavlopoulos A.E_Dimitra_Efxeinoupolis location Greece ,"A.E Dimitra Efxeinoupolis is located in Greece, where Athens in the capital and Nikos Voutsis and Prokopis Pavlopoulos are leaders.",(X (X (X) (X) (X))),mixed,1,4
6,DeSoto_Custom manufacturer DeSoto_(automobile) 1955_Dodge relatedMeanOfTransportation DeSoto_Custom DeSoto_Custom relatedMeanOfTransportation Chrysler_Newport  ,DeSoto_Custom manufacturer DeSoto_(automobile) 1955_Dodge relatedMeanOfTransportation DeSoto_Custom DeSoto_Custom relatedMeanOfTransportation Chrysler_Newport ,The DeSoto Custom was manufactured at DeSoto and is a related means of transport to the 1955 Dodge and the Chrysler Newport.,(X (X (X) (X))),mixed,1,3
7,"Aaron_Deer background ""solo_singer"" Aaron_Deer genre Indie_rock Aaron_Deer origin Indianapolis Aaron_Deer origin Indiana  ","Aaron_Deer background ""solo_singer"" Aaron_Deer genre Indie_rock Aaron_Deer origin Indianapolis Aaron_Deer origin Indiana ","Aaron Deer is from Indianapolis. in Indiana. He is a performer of the music genre, Indie rock and has a background as a solo singer.",(X (X) (X) (X) (X)),sibling,1,4
8,"Abdul_Taib_Mahmud birthPlace Kingdom_of_Sarawak Abdul_Taib_Mahmud party ""Parti Bumiputera Sarawak"" Abdul_Taib_Mahmud residence Sarawak Abdul_Taib_Mahmud successor Adenan_Satem  ","Abdul_Taib_Mahmud birthPlace Kingdom_of_Sarawak Abdul_Taib_Mahmud party ""Parti Bumiputera Sarawak"" Abdul_Taib_Mahmud residence Sarawak Abdul_Taib_Mahmud successor Adenan_Satem ",Abdul Taib Mahmud's birthplace and place of residence was Kingdom of Sarawak. He was a member of the Parti Bumiputera Sarawak Party and was succeeded by Adenan Satem.,(X (X) (X) (X) (X)),sibling,1,4
9,Nigeria leader Yemi_Osinbajo  ,Nigeria leader Yemi_Osinbajo ,Yemi Osinbajo is a leader in Nigeria.,(X (X)),,1,1
